Title	xmlUrl	htmlUrl
Curious City	http://feeds.feedburner.com/CuriousCityPodcast	https://www.wbez.org/shows/curious-city/7b79e16d-f3a9-4156-9b27-4d2cc6ce351e
Waking Up with Sam Harris	http://feeds.soundcloud.com/users/soundcloud:users:59753170/sounds.rss	http://www.samharris.org/
On Being with Krista Tippett	http://www.onbeing.org/podcasts/podcast.xml	http://onbeing.org/
Slate's The Gist	http://feeds.feedburner.com/TheGistWithMikePesca	http://www.slate.com/thegist
Nice Hair with The Chainsmokers	http://thechainsmokers.libsyn.com/rss	http://thechainsmokers.libsyn.com/podcast
Out on the Wire	http://outonthewire.libsyn.com/rss	http://outonthewire.libsyn.com/podcast
Chewing	http://feeds.feedburner.com/chewing	http://chewing.xyz/
Homemade Stories	http://rss.acast.com/homemadestories	http://www.shannoncason.com/
WTF with Marc Maron Podcast	http://wtfpod.libsyn.com/rss	http://wtfpod.com/
Freakonomics Radio	http://feeds.feedburner.com/freakonomicsradio	http://www.wnyc.org/articles/freakonomics-podcast
Accidental Tech Podcast	http://atp.fm/episodes?format=rss	http://atp.fm/
HowSound	http://feeds.prx.org/HowSound	http://transom.org/topics/howsound/
Music Popcast	http://www.nytimes.com/services/xml/rss/nyt/podcasts/musicreview.xml	http://www.nytimes.com/
Educate	http://americanradioworks.publicradio.org/podcast.xml	http://www.americanradioworks.org/
Longform	http://longform.libsyn.com/rss	http://longform.org/
Life of the Law	http://feeds.feedburner.com/LifeoftheLaw	http://www.lifeofthelaw.org/
Random Tape	http://randomtape.libsyn.com/rss	http://www.randomtape.com/
The Larry Meiller Show	http://feeds.feedburner.com/TheLarryMeillerShow	http://wpr.org/programs/larry-meiller-show
Revolutions	http://revolutionspodcast.libsyn.com/rss	http://www.revolutionspodcast.com/
Radio Headspace	http://feeds.soundcloud.com/users/soundcloud:users:77542725/sounds.rss	http://www.headspace.com/
StoryCorps	http://www.npr.org/rss/podcast.php?id=510200	http://www.npr.org/storycorps
Music For Programming	http://musicforprogramming.net/rss.php	http://musicforprogramming.net/img/mfp.jpg
Re:sound	http://feeds.feedburner.com/tciafpodcast	http://thirdcoastfestival.org/
Strangers	http://feeds.strangersnomore.org/StrangersNoMore	http://www.storycentral.org/
The Bone Zone	http://feeds.feedburner.com/TheBoneZone	http://soundcloud.com/thebonezone
The Feed: The Official Libsyn Podcast | Podcast Strategy | Podcasting Tips | Media Hosting	http://thefeed.libsyn.com/rss	http://thefeed.libsyn.com/podcast
Sounding Out!	http://feeds.feedburner.com/SoundingOutPodcast	https://soundstudiesblog.com/
Pitch	http://feeds.feedburner.com/hearpitch	http://soundcloud.com/pitch
Reveal	http://feeds.revealradio.org/revealpodcast	http://www.revealnews.org/
Meet the Composer	http://feeds.wnyc.org/wqxr-meetthecomposer	http://www.wqxr.org/programs/meet-composer/
Data Skeptic	http://dataskeptic.libsyn.com/rss	http://dataskeptic.com/
Texas Standard	http://feedpress.me/texasstandard	http://kutpodcasts.org/category/texas-standard
Serial	http://feeds.serialpodcast.org/serialpodcast	https://serialpodcast.org/
Reply All	http://feeds.gimletmedia.com/hearreplyall	http://gimletmedia.com/shows/reply-all
Another Round	http://rss.acast.com/anotherround	http://www.acast.com/anotherround
Between the Liner Notes	http://rss.acast.com/linernotes	http://www.betweenthelinernotes.com/
The Graphic Sound	https://simplecast.com/podcasts/1427/rss	http://www.thegraphicsound.com/
Rolling Stone Music Now	http://feeds.megaphone.fm/rollingstonemusicnow	http://www.rollingstone.com/
The Ezra Klein Show	http://feeds.feedburner.com/TheEzraKleinShow	http://www.vox.com/
Material World	http://www.bloomberg.com/feeds/podcasts/material_world.xml	http://bloomberg.com/podcasts/material_world
Werk It: The Podcast	http://feeds.wnyc.org/werkit-podcast	http://www.wnyc.org/shows/werkit
Slate's Whistlestop	http://feeds.feedburner.com/SlatesWhistlestop	http://www.slate.com/podcasts/
The World According to Sound	http://feeds.soundcloud.com/users/soundcloud:users:162376586/sounds.rss	http://www.theworldaccordingtosound.org/
The New Yorker Radio Hour	http://feeds.wnyc.org/newyorkerradiohour	http://www.wnyc.org/shows/tnyradiohour
Tumanbay	http://www.bbc.co.uk/programmes/b06qcrhv/episodes/downloads.rss	http://www.bbc.co.uk/programmes/b06qcrhv
Modern Love	http://feeds.wbur.org/modernlove/podcast?feed=podcast	http://wbur.org/modernlove
The Intern	http://rss.acast.com/theintern	http://www.acast.com/theintern
Archive 81	http://feeds.soundcloud.com/users/soundcloud:users:213324253/sounds.rss	http://archive81.com/
Human Race	http://feeds.feedburner.com/HumanRacePodcast	http://www.runnersworld.com/audio
Missouri Audio Project	http://feedpress.me/missouri-audio-project	http://kbia.org/programs/missouri-audio-project
Code Switch	http://www.npr.org/rss/podcast.php?id=510312	http://www.npr.org/sections/codeswitch/
FOUND	http://rss.art19.com/found	http://wondery.com/FOUND
Northwestern Sound	http://feeds.soundcloud.com/users/soundcloud:users:197608539/sounds.rss	http://www.sound.northwestern.edu/
Dunkumentaries	http://espn.go.com/espnradio/podcast/feeds/itunes/podCast?id=14562056	http://espn.go.com/espnradio/podcast/index
The Uncertain Hour	http://feeds.publicradio.org/public_feeds/the-uncertain-hour/itunes/rss	http://www.marketplace.org/topics/uncertain-hour
The Runner's World Show	http://feeds.feedburner.com/TheRunnersWorldShow	http://www.runnersworld.com/audio
